GroupId,GroupName,GroupDescription,ID,Shortname,LongName,Description
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5029,CDBH4,cic_CustomvDrawerBoxHeight4,"Used in 2020 Design Database for CiC. Tip: this is an array variable, which can be read in the follwing manner: CDBH4[1], ""1"" is for cic_CustomvDrawerBoxHeight4[1] CDBH4[2], ""2"" is for cic_CustomvDrawerBoxHeight4[2] CDBH4[3], ""3"" is for cic_CustomvDrawerBoxHeight4[3]"
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5030,CDBH5,cic_CustomvDrawerBoxHeight5,"Used in 2020 Design Database for CiC. Tip: this is an array variable, which can be read in the follwing manner: CDBH5[1], ""1"" is for cic_CustomvDrawerBoxHeight5[1] CDBH5[2], ""2"" is for cic_CustomvDrawerBoxHeight5[2] CDBH5[3], ""3"" is for cic_CustomvDrawerBoxHeight5[3]"
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5031,CDBH6,cic_CustomvDrawerBoxHeight6,"Used in 2020 Design Database for CiC. Tip: this is an array variable, which can be read in the follwing manner: CDBH6[1], ""1"" is for cic_CustomvDrawerBoxHeight6[1] CDBH6[2], ""2"" is for cic_CustomvDrawerBoxHeight6[2] CDBH6[3], ""3"" is for cic_CustomvDrawerBoxHeight6[3]"
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5032,CLSHF,Cic_LayerShelfHorizontalFinish,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5033,CLSHNF,Cic_LayerShelfHorizontalNoFinish,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5034,CLDHF,Cic_LayerDividerHorizontalFinish,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5035,CLDHNF,Cic_LayerDividerHorizontalNoFinish,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5036,CCCAH4,CiC_CabinetAccessoryHeight4,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5037,CCCAH5,CiC_CabinetAccessoryHeight5,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5038,CCCAW4,CiC_CabinetAccessoryWidth4,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5039,CCCAW5,CiC_CabinetAccessoryWidth5,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5040,CCCAD4,CiC_CabinetAccessoryDepth4,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5041,CCCAD5,CiC_CabinetAccessoryDepth5,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5042,CCAC,CiC_ApplianceCooktop,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5043,CCAC1,CiC_ApplianceCooktop1,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5044,CCAC2,CiC_ApplianceCooktop2,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5045,CCAC3,CiC_ApplianceCooktop3,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5046,CCART,CiC_ApplianceRangeTop,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5047,CCART1,CiC_ApplianceRangeTop1,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5048,CCART2,CiC_ApplianceRangeTop2,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5049,CCART3,CiC_ApplianceRangeTop3,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5050,CCAS,CiC_ApplianceSink,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5051,CCAS1,CiC_ApplianceSink1,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5052,CCAS2,CiC_ApplianceSink2,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5053,CCAS3,CiC_ApplianceSink3,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5054,CCAAS,CiC_ApplianceApronSink,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5055,CCAAS1,CiC_ApplianceApronSink1,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5056,CCAAS2,CiC_ApplianceApronSink2,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5057,CCAAS3,CiC_ApplianceApronSink3,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5058,CCWBSD,CiC_WallBottomShelfDepth,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5059,CCOVLS,CIC_OVerLayStyle,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5060,CCDHD,CiC_DoorHandleDepth,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5061,CCDWHD,CiC_DraWerHandleDepth,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5062,CCBMP,CiC_BottomMoldingPath,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5063,CCTISR,CiC_TopIncreaseSideRight,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5064,CCTISL,CiC_TopIncreaseSideLeft,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5065,CCDLSV,CiC_DoorLeftStileVisibility,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5066,CCDRSV,CiC_DoorRightStileVisibility,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5067,CCVDWO,CiC_VDrawerfrontOrientation,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5068,CCWFEL,CiC_WallFillerEndpanelL,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5069,CCWFER,CiC_WallFillerEndpanelR,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5070,CCWFEB,CiC_WallFillerEndpanelB,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5071,CCTFEL,CiC_TallFillerEndpanelL,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5072,CCTFER,CiC_TallFillerEndpanelR,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5073,CCTFEB,CiC_TallFillerEndpanelB,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5074,CCIST1,CiC_IntermediateSTile1,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5075,CCTKPA,CIC_ToeKickPAth,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5076,CCDCRL,CiC_DividerCleaRanceLeft,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5077,CCDCRR,CCiC_DividerCleaRanceRight,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5078,CCSDBD,CIC_StyleDecorativeBaseDoor,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5079,CLHE,Cic_Layer_Hside_Exterior,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5080,CLHEF,Cic_Layer_Hside_Exterior_Finish,Used in 2020 Design Database for CiC
